4PP,Woonplaats,Alternatieve schrijfwijzen,Gemeente,Provincie,Netnummer,Latitude,Longitude,Soort
1000,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Postbus
1001,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Postbus
1002,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Onbekend
1003,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Onbekend
1005,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Postbus
1006,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Postbus
1007,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Postbus
1008,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Postbus
1009,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Postbus
1011,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1012,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1013,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1014,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1015,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1016,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1017,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1018,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1019,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1020,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Postbus
1021,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1022,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1023,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1024,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1025,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1026,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1027,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1028,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1030,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Postbus
1031,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1032,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1033,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1034,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
1035,Amsterdam,,Amsterdam,Noord-Holland,020,52.35000000,4.91666700,Adres
